distance;prr;successes;opportunities
50,000000;1,000000;878;878
100,000000;1,000000;673;673
150,000000;0,998469;652;653
200,000000;1,000000;665;665
250,000000;0,789396;536;679
300,000000;0,952450;661;694
350,000000;0,890190;608;683
400,000000;0,832606;572;687
450,000000;0,761281;523;687
500,000000;0,437126;292;668
550,000000;0,308489;149;483
600,000000;0,222222;108;486
650,000000;0,132353;63;476
700,000000;0,066456;42;632
750,000000;0,047945;35;730
800,000000;0,010899;8;734
850,000000;0,002736;2;731
900,000000;0,000000;0;883
950,000000;0,000000;0;1016
1000,000000;0,000000;0;1015
1050,000000;0,000000;0;1
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
