time_s;cbr
1,100000;0,196555
1,200000;0,199349
1,300000;0,198000
1,400000;0,189297
1,500000;0,198040
1,600000;0,188660
1,700000;0,203296
1,800000;0,209280
1,900000;0,172709
2,000000;0,196994
2,100000;0,179076
2,200000;0,182366
2,300000;0,184339
2,400000;0,186040
2,500000;0,192558
2,600000;0,199186
2,700000;0,192040
2,800000;0,174047
2,900000;0,214321
3,000000;0,208766
3,100000;0,192116
3,200000;0,207259
3,300000;0,191642
3,400000;0,183338
3,500000;0,192026
3,600000;0,216040
3,700000;0,180940
3,800000;0,204040
3,900000;0,217180
4,000000;0,209280
4,100000;0,192040
4,200000;0,189275
4,300000;0,197646
4,400000;0,205433
4,500000;0,214441
4,600000;0,208092
4,700000;0,194560
4,800000;0,209680
4,900000;0,192040
5,000000;0,196228
5,100000;0,193706
5,200000;0,200348
5,300000;0,211237
5,400000;0,196055
5,500000;0,192040
5,600000;0,224360
5,700000;0,167701
5,800000;0,233924
5,900000;0,172484
6,000000;0,223072
6,100000;0,192448
6,200000;0,185932
6,300000;0,213822
6,400000;0,214539
6,500000;0,212195
6,600000;0,236224
6,700000;0,194850
6,800000;0,189029
6,900000;0,216040
7,000000;0,188378
7,100000;0,187286
7,200000;0,213397
7,300000;0,197879
7,400000;0,215156
7,500000;0,189919
7,600000;0,208272
7,700000;0,209280
7,800000;0,211532
7,900000;0,198802
8,000000;0,197490
8,100000;0,218886
8,200000;0,219153
8,300000;0,203845
8,400000;0,196682
8,500000;0,206541
8,600000;0,197133
8,700000;0,207718
8,800000;0,189702
8,900000;0,205466
9,000000;0,211834
9,100000;0,202662
9,200000;0,228182
9,300000;0,208087
9,400000;0,213830
9,500000;0,217769
9,600000;0,199088
9,700000;0,189664
9,800000;0,227772
9,900000;0,207771
10,000000;0,197759
10,100000;0,209258
10,200000;0,211188
10,300000;0,228425
10,400000;0,197252
10,500000;0,225463
10,600000;0,214483
10,700000;0,242763
10,800000;0,209852
10,900000;0,210040
11,000000;0,220869
11,100000;0,189580
11,200000;0,213701
11,300000;0,210650
11,400000;0,224037
11,500000;0,213134
11,600000;0,226859
11,700000;0,198800
11,800000;0,213724
11,900000;0,209680
12,000000;0,204683
12,100000;0,239440
12,200000;0,216008
12,300000;0,187012
12,400000;0,222804
12,500000;0,193611
12,600000;0,223832
12,700000;0,210040
12,800000;0,206804
12,900000;0,199839
13,000000;0,233346
13,100000;0,192651
13,200000;0,212374
13,300000;0,205979
13,400000;0,216139
13,500000;0,178863
13,600000;0,210800
13,700000;0,210500
13,800000;0,207054
13,900000;0,216049
14,000000;0,200492
14,100000;0,203219
14,200000;0,201899
14,300000;0,204800
14,400000;0,221280
14,500000;0,211550
14,600000;0,190237
14,700000;0,198057
14,800000;0,194137
14,900000;0,206117
15,000000;0,225934
15,100000;0,204703
15,200000;0,199339
15,300000;0,222800
15,400000;0,203280
15,500000;0,226980
15,600000;0,210800
15,700000;0,182903
15,800000;0,209820
15,900000;0,196165
16,000000;0,203257
16,100000;0,207577
16,200000;0,198800
16,300000;0,215280
16,400000;0,190436
16,500000;0,208120
16,600000;0,199519
16,700000;0,216040
16,800000;0,217596
16,900000;0,201800
17,000000;0,211643
17,100000;0,195558
17,200000;0,201031
17,300000;0,204040
17,400000;0,201417
17,500000;0,216040
17,600000;0,219190
17,700000;0,196997
