distance;prr;successes;opportunities
50,000000;0,980392;5600;5712
100,000000;0,961240;8556;8901
150,000000;0,935315;6449;6895
200,000000;0,897646;6560;7308
250,000000;0,868956;6452;7425
300,000000;0,839337;6081;7245
350,000000;0,829098;6297;7595
400,000000;0,824432;6128;7433
450,000000;0,818337;5757;7035
500,000000;0,712795;4646;6518
550,000000;0,543997;4309;7921
600,000000;0,424008;2575;6073
650,000000;0,282503;2375;8407
700,000000;0,164842;1626;9864
750,000000;0,085333;690;8086
800,000000;0,036943;320;8662
850,000000;0,014448;125;8652
900,000000;0,003257;27;8289
950,000000;0,000772;7;9062
1000,000000;0,000351;3;8537
1050,000000;0,000000;0;8
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
