time_s;cbr
1,100000;0,288410
1,200000;0,287487
1,300000;0,303226
1,400000;0,266475
1,500000;0,303643
1,600000;0,276515
1,700000;0,277885
1,800000;0,286030
1,900000;0,303469
2,000000;0,284743
2,100000;0,290641
2,200000;0,300272
2,300000;0,282067
2,400000;0,280512
2,500000;0,307138
2,600000;0,294734
2,700000;0,311177
2,800000;0,289095
2,900000;0,262250
3,000000;0,293745
3,100000;0,266849
3,200000;0,296878
3,300000;0,279184
3,400000;0,258979
3,500000;0,315370
3,600000;0,257652
3,700000;0,298251
3,800000;0,274426
3,900000;0,267515
4,000000;0,271597
4,100000;0,282135
4,200000;0,288659
4,300000;0,273831
4,400000;0,287576
4,500000;0,285280
4,600000;0,286905
4,700000;0,288144
4,800000;0,290073
4,900000;0,259103
5,000000;0,289871
5,100000;0,287123
5,200000;0,301635
5,300000;0,286036
5,400000;0,288076
5,500000;0,267304
5,600000;0,297860
5,700000;0,271905
5,800000;0,260543
5,900000;0,259095
6,000000;0,276234
6,100000;0,262672
6,200000;0,288406
6,300000;0,252945
6,400000;0,268543
6,500000;0,272040
6,600000;0,277319
6,700000;0,270979
6,800000;0,262150
6,900000;0,258033
7,000000;0,286940
7,100000;0,287824
7,200000;0,279264
7,300000;0,267580
7,400000;0,271267
7,500000;0,263865
7,600000;0,236644
7,700000;0,254183
7,800000;0,269716
7,900000;0,272110
8,000000;0,271559
8,100000;0,289643
8,200000;0,265568
8,300000;0,244950
8,400000;0,274101
8,500000;0,262855
8,600000;0,257111
8,700000;0,272614
8,800000;0,272198
8,900000;0,275245
9,000000;0,255115
9,100000;0,253060
9,200000;0,270238
9,300000;0,252681
9,400000;0,270573
9,500000;0,274756
9,600000;0,252729
9,700000;0,234105
9,800000;0,250925
9,900000;0,260480
10,000000;0,224088
10,100000;0,237192
10,200000;0,217441
10,300000;0,233033
10,400000;0,246268
10,500000;0,259169
10,600000;0,260331
10,700000;0,241776
10,800000;0,257560
10,900000;0,262805
11,000000;0,259821
11,100000;0,224821
11,200000;0,255148
11,300000;0,249827
11,400000;0,229284
11,500000;0,263000
11,600000;0,267576
11,700000;0,250000
11,800000;0,259311
11,900000;0,259343
12,000000;0,258717
12,100000;0,246272
12,200000;0,215169
12,300000;0,252378
12,400000;0,254510
12,500000;0,254784
12,600000;0,251812
12,700000;0,247111
12,800000;0,230974
12,900000;0,275313
13,000000;0,265766
13,100000;0,280240
13,200000;0,267280
13,300000;0,256872
13,400000;0,269460
13,500000;0,295583
13,600000;0,250566
13,700000;0,252687
13,800000;0,256290
13,900000;0,279513
14,000000;0,254391
14,100000;0,264265
14,200000;0,265518
14,300000;0,261279
14,400000;0,280706
14,500000;0,249347
14,600000;0,262023
14,700000;0,263918
14,800000;0,272289
14,900000;0,277163
15,000000;0,263041
15,100000;0,267640
15,200000;0,267858
15,300000;0,256347
15,400000;0,255219
15,500000;0,290567
15,600000;0,294032
15,700000;0,260480
15,800000;0,273108
15,900000;0,233666
16,000000;0,256852
16,100000;0,272062
16,200000;0,255455
16,300000;0,280116
16,400000;0,255411
16,500000;0,277640
16,600000;0,238411
16,700000;0,253383
16,800000;0,260349
16,900000;0,250290
17,000000;0,236866
17,100000;0,263419
17,200000;0,245288
17,300000;0,237149
17,400000;0,267555
17,500000;0,243609
17,600000;0,251617
17,700000;0,263311
17,800000;0,242739
17,900000;0,253799
18,000000;0,273778
18,100000;0,231114
18,200000;0,245781
18,300000;0,233731
18,400000;0,218974
18,500000;0,239106
18,600000;0,216756
18,700000;0,226964
18,800000;0,249973
18,900000;0,241819
19,000000;0,216749
19,100000;0,237720
19,200000;0,234560
19,300000;0,238866
19,400000;0,247880
19,500000;0,236280
19,600000;0,241234
19,700000;0,210038
19,800000;0,238637
19,900000;0,244136
20,000000;0,224800
20,100000;0,219760
20,200000;0,238173
20,300000;0,238571
20,400000;0,242210
20,500000;0,225823
20,600000;0,256440
20,700000;0,232790
20,800000;0,221650
20,900000;0,232043
21,000000;0,237040
21,100000;0,237271
21,200000;0,219240
21,300000;0,247581
21,400000;0,234360
21,500000;0,229203
21,600000;0,246787
21,700000;0,242080
21,800000;0,237040
21,900000;0,237040
22,000000;0,232101
22,100000;0,224970
22,200000;0,238849
22,300000;0,247280
22,400000;0,216811
22,500000;0,247640
22,600000;0,226960
22,700000;0,219240
22,800000;0,215649
22,900000;0,219400
23,000000;0,232191
23,100000;0,231240
23,200000;0,219400
23,300000;0,224430
23,400000;0,206040
23,500000;0,224440
23,600000;0,227381
23,700000;0,226960
23,800000;0,219400
23,900000;0,216140
24,000000;0,226960
24,100000;0,226960
24,200000;0,224760
24,300000;0,225200
24,400000;0,230880
24,500000;0,224440
24,600000;0,224440
24,700000;0,220160
24,800000;0,198491
24,900000;0,234520
25,000000;0,201760
25,100000;0,209320
25,200000;0,204280
25,300000;0,199240
25,400000;0,184120
25,500000;0,229480
25,600000;0,174040
25,700000;0,199240
25,800000;0,204280
25,900000;0,189160
26,000000;0,197360
26,100000;0,189160
26,200000;0,146320
26,300000;0,149647
26,400000;0,148840
26,500000;0,165990
26,600000;0,143800
26,700000;0,153905
26,800000;0,171520
26,900000;0,157580
27,000000;0,154243
27,100000;0,158920
27,200000;0,166480
27,300000;0,151360
27,400000;0,159280
27,500000;0,163960
27,600000;0,148840
27,700000;0,160060
27,800000;0,160760
27,900000;0,151360
28,000000;0,171520
28,100000;0,144560
28,200000;0,161000
28,300000;0,176560
28,400000;0,153880
28,500000;0,162200
28,600000;0,158160
28,700000;0,158920
28,800000;0,169000
28,900000;0,146320
29,000000;0,146320
29,100000;0,164480
29,200000;0,159101
29,300000;0,176560
29,400000;0,164320
29,500000;0,195780
29,600000;0,161348
29,700000;0,189520
29,800000;0,181600
29,900000;0,178320
30,000000;0,189840
30,100000;0,175880
30,200000;0,180200
30,300000;0,184080
30,400000;0,189160
30,500000;0,201760
30,600000;0,202108
30,700000;0,193290
30,800000;0,199166
30,900000;0,184120
31,000000;0,186640
31,100000;0,199600
31,200000;0,199960
31,300000;0,199942
31,400000;0,179288
31,500000;0,194020
31,600000;0,197080
31,700000;0,205000
31,800000;0,209680
31,900000;0,212200
32,000000;0,209680
32,100000;0,226233
32,200000;0,214360
32,300000;0,226960
32,400000;0,207160
32,500000;0,213207
32,600000;0,221920
32,700000;0,217008
32,800000;0,227480
32,900000;0,219400
33,000000;0,226000
33,100000;0,199249
33,200000;0,223527
33,300000;0,215267
33,400000;0,221162
33,500000;0,221171
33,600000;0,216940
33,700000;0,231900
33,800000;0,228232
33,900000;0,222222
34,000000;0,227320
34,100000;0,232588
34,200000;0,232000
34,300000;0,221811
34,400000;0,235639
34,500000;0,214867
34,600000;0,229480
34,700000;0,257723
34,800000;0,238120
34,900000;0,239560
35,000000;0,272320
35,100000;0,246153
35,200000;0,223297
35,300000;0,236151
35,400000;0,239766
35,500000;0,274840
35,600000;0,232565
35,700000;0,262240
35,800000;0,229031
35,900000;0,239816
36,000000;0,227762
36,100000;0,262838
36,200000;0,246360
36,300000;0,272886
36,400000;0,259604
36,500000;0,248590
36,600000;0,236774
36,700000;0,259720
36,800000;0,239505
36,900000;0,225200
37,000000;0,226592
37,100000;0,235416
