distance;prr;successes;opportunities
50,000000;0,985738;33797;34286
100,000000;0,951658;28663;30119
150,000000;0,879350;30524;34712
200,000000;0,718791;22087;30728
250,000000;0,423768;14203;33516
300,000000;0,184619;5812;31481
350,000000;0,057966;1836;31674
400,000000;0,016359;466;28486
450,000000;0,003519;107;30406
500,000000;0,003324;88;26476
550,000000;0,000324;9;27820
600,000000;0,000032;1;30996
650,000000;0,000000;0;36055
700,000000;0,000000;0;34187
750,000000;0,000000;0;39539
800,000000;0,000000;0;35136
850,000000;0,000000;0;32430
900,000000;0,000000;0;33475
950,000000;0,000000;0;31285
1000,000000;0,000000;0;38202
1050,000000;0,000000;0;29
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
