distance;prr;successes;opportunities
50,000000;0,982347;185414;188746
100,000000;0,950497;177031;186251
150,000000;0,922429;164981;178855
200,000000;0,891731;150715;169014
250,000000;0,854486;148613;173921
300,000000;0,803163;138789;172803
350,000000;0,753869;135208;179352
400,000000;0,697494;127548;182866
450,000000;0,668390;123348;184545
500,000000;0,587158;112355;191354
550,000000;0,507008;94337;186066
600,000000;0,404575;73074;180619
650,000000;0,294335;52170;177247
700,000000;0,174812;30305;173358
750,000000;0,085314;15106;177063
800,000000;0,037441;6912;184610
850,000000;0,013991;2696;192693
900,000000;0,004396;788;179271
950,000000;0,001285;236;183650
1000,000000;0,000314;60;191129
1050,000000;0,000000;0;162
1100,000000;0,000000;0;0
1150,000000;0,000000;0;0
1200,000000;0,000000;0;0
1250,000000;0,000000;0;0
1300,000000;0,000000;0;0
1350,000000;0,000000;0;0
1400,000000;0,000000;0;0
1450,000000;0,000000;0;0
1500,000000;0,000000;0;0
1550,000000;0,000000;0;0
